epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.9223,1.8092,3.93031,1.88568,0.00829,0.61445,0.10561,0.04184,1.7488,3.82751,1.70155,0.00023,0.00023,0.00023
2,74.0342,1.53341,3.01056,1.55276,0.01269,0.93241,0.33764,0.14844,1.59183,3.22817,1.49794,0.000465347,0.000465347,0.000465347
3,109.742,1.47756,2.3136,1.51215,0.93083,0.15853,0.38195,0.18596,1.5753,2.94125,1.47439,0.000695942,0.000695942,0.000695942
4,146.846,1.48006,2.07446,1.50074,0.57408,0.6031,0.70446,0.36398,1.53206,2.30112,1.44069,0.000921785,0.000921785,0.000921785
5,182.363,1.38812,1.81905,1.40765,0.67954,0.79606,0.79939,0.45828,1.34674,1.81018,1.3571,0.0009604,0.0009604,0.0009604
6,217.965,1.33738,1.64124,1.35151,0.76818,0.67061,0.79562,0.45846,1.38382,1.85716,1.40639,0.0009505,0.0009505,0.0009505
7,253.258,1.35478,1.58242,1.36049,0.73775,0.87712,0.86732,0.52647,1.28594,1.44742,1.33678,0.0009406,0.0009406,0.0009406
8,288.748,1.2958,1.52589,1.32271,0.62882,0.87801,0.8778,0.52139,1.24958,1.56872,1.35034,0.0009307,0.0009307,0.0009307
9,324.132,1.2627,1.47812,1.31796,0.78626,0.83689,0.87109,0.5503,1.18503,1.35189,1.3182,0.0009208,0.0009208,0.0009208
10,359.916,1.26989,1.41409,1.32756,0.77767,0.87771,0.89672,0.58715,1.16475,1.36401,1.24193,0.0009109,0.0009109,0.0009109
11,395.15,1.24668,1.40254,1.29856,0.85264,0.87628,0.92329,0.60571,1.20245,1.26163,1.25626,0.000901,0.000901,0.000901
12,430.377,1.18098,1.26152,1.23126,0.88288,0.92302,0.93216,0.63409,1.09655,1.16929,1.23814,0.0008911,0.0008911,0.0008911
13,465.86,1.18094,1.18707,1.23527,0.85657,0.91649,0.93842,0.63399,1.14213,1.2144,1.27661,0.0008812,0.0008812,0.0008812
14,501.412,1.19427,1.21383,1.25319,0.8469,0.91094,0.93865,0.62826,1.18308,1.15168,1.31201,0.0008713,0.0008713,0.0008713
15,536.713,1.15855,1.16779,1.2251,0.86893,0.86416,0.93188,0.63443,1.1304,1.19128,1.25975,0.0008614,0.0008614,0.0008614
16,572.146,1.14195,1.18163,1.22484,0.89795,0.93126,0.95734,0.66527,1.06697,1.0334,1.19749,0.0008515,0.0008515,0.0008515
17,607.997,1.12554,1.12033,1.22325,0.8665,0.95513,0.95135,0.66925,1.0362,1.01708,1.17333,0.0008416,0.0008416,0.0008416
18,643.234,1.11803,1.10084,1.21395,0.87414,0.93966,0.94657,0.67551,0.997,1.07814,1.15484,0.0008317,0.0008317,0.0008317
